id,created_at,text,Count,artist_id,poll_id
1,2025-12-12 21:59:37.405766+00,Avicii,0,1,1
2,2025-12-12 21:59:37.405766+00,Bastille,0,5,1
3,2025-12-12 21:59:37.405766+00,Billie Eilish,0,6,1
4,2025-12-12 21:59:37.405766+00,Kings Of Leon,0,7,1
5,2025-12-12 21:59:37.405766+00,Foo Fighters,0,8,1
6,2025-12-12 22:04:21.228598+00,The Weeknd,0,9,2
8,2025-12-12 22:04:21.228598+00,David Guetta,0,11,2
9,2025-12-12 22:04:21.228598+00,Imagine Dragons,0,12,2
10,2025-12-12 22:04:21.228598+00,Kanye West,0,13,2
11,2025-12-13 21:57:51.38026+00,dEUS,0,16,2
12,2025-12-13 21:57:51.38026+00,Florence + The Machine,0,19,2
13,2025-12-13 21:57:51.38026+00,Red Hot Chili Peppers,0,20,2
14,2025-12-13 22:07:32.904074+00,Queens of the Stone Age,0,23,2
15,2025-12-13 22:30:20.364546+00,The Cure,0,18,2
16,2025-12-13 22:38:09.846572+00,Black Box Revelation,0,22,2
17,2025-12-13 22:43:44.931003+00,Bazart,0,15,2
18,2025-12-13 22:43:44.931003+00,Pommelien Thijs,0,17,2
19,2025-12-13 22:43:44.931003+00,Angèle,0,21,2
20,2025-12-13 23:25:17.538104+00,Amenra,0,25,2
21,2025-12-14 00:27:23.954053+00,Greta Van Fleet,0,26,2
22,2025-12-14 00:37:36.326383+00,Metallica,0,27,2
23,2025-12-14 08:42:58.994276+00,Meau,0,14,2
