created_at,user_id,polloption_id
2025-12-19 16:38:30.975815+00,1,27
2025-12-12 21:59:48.839859+00,2,5
2025-12-12 22:04:29.215372+00,2,10
2025-12-17 13:23:36.211817+00,2,40
2025-12-17 13:40:00.585443+00,2,52
2025-12-17 14:12:51.869913+00,2,60
2025-12-16 12:33:02.060943+00,3,13
2025-12-19 14:39:46.672909+00,4,10
2025-12-18 21:19:27.089299+00,4,72
2025-12-13 21:58:01.753992+00,6,9
2025-12-13 22:07:58.812441+00,7,14
2025-12-13 22:30:34.83905+00,8,11
2025-12-13 22:38:28.730705+00,9,16
2025-12-13 22:44:05.787111+00,10,17
2025-12-13 23:25:29.972325+00,13,17
2025-12-14 00:19:08.557799+00,16,14
2025-12-14 00:28:21.437656+00,18,17
2025-12-14 00:37:46.239834+00,19,12
2025-12-14 08:43:09.736998+00,20,19
2025-12-14 09:06:50.114788+00,21,19
2025-12-14 10:49:40.815637+00,22,9
2025-12-19 19:41:34.649415+00,23,99
2025-12-14 12:05:27.95453+00,24,17
2025-12-14 12:14:24.293819+00,25,9
2025-12-17 16:19:20.611787+00,25,67
2025-12-14 12:41:47.063214+00,27,12
2025-12-14 12:52:21.750091+00,28,14
2025-12-14 13:05:01.443577+00,29,17
2025-12-14 13:06:18.787273+00,30,17
2025-12-14 13:27:59.415468+00,32,23
2025-12-16 10:47:17.817093+00,34,17
2025-12-16 12:47:03.040811+00,38,11
2025-12-16 12:54:37.427077+00,40,17
2025-12-16 13:00:43.068662+00,41,10
2025-12-16 13:10:09.876287+00,43,15
2025-12-17 09:50:45.714389+00,44,11
2025-12-17 09:47:18.699906+00,44,35
2025-12-17 11:23:39.078023+00,45,42
2025-12-17 12:28:47.554729+00,46,45
2025-12-17 18:26:02.018218+00,49,74
2025-12-18 09:19:31.582384+00,50,77
2025-12-19 10:26:24.964272+00,51,81
2025-12-19 13:30:48.176988+00,52,80
2025-12-19 14:00:44.246063+00,54,77
2025-12-19 14:10:57.511776+00,55,76
2025-12-19 14:49:45.056416+00,56,8
2025-12-19 18:59:04.98682+00,58,42
