created_at,user_id,polloption_id
2025-12-12 21:59:48.839859+00,2,5
2025-12-12 22:04:29.215372+00,2,10
2025-12-14 08:51:28.367905+00,5,11
2025-12-13 21:58:01.753992+00,6,9
2025-12-13 22:07:58.812441+00,7,14
2025-12-13 22:30:34.83905+00,8,11
2025-12-13 22:38:28.730705+00,9,16
2025-12-13 22:44:05.787111+00,10,17
2025-12-13 23:25:29.972325+00,13,17
2025-12-14 00:19:08.557799+00,16,14
2025-12-14 00:28:21.437656+00,18,17
2025-12-14 00:37:46.239834+00,19,12
2025-12-14 08:43:09.736998+00,20,19
2025-12-14 09:06:50.114788+00,21,19
